bee_id,colony_id,body_mass_mg,event_type,mean_energy_J,flower_type,nectar_volume_ul
green3,3,180.999999999999,buzz,0.06999596400030408,sunflower,0.007305019255085535
green3,3,180.999999999999,takeoff,0.08709444773900847,sunflower,0.009089475755226884
green4,4,216.4999999999963,buzz,0.09709017573089658,sunflower,0.010132664266053349
green4,4,216.4999999999963,takeoff,0.10904332784392483,sunflower,0.011380136282357865
green5,5,266.5000000000042,buzz,0.0985503326319257,sunflower,0.010285051256214916
green5,5,266.5000000000042,takeoff,0.12957230902598854,sunflower,0.013522611280225066
red31,3,219.0000000000012,buzz,0.12474014599450488,sunflower,0.013018310146683318
red31,3,219.0000000000012,takeoff,0.07932520815435475,sunflower,0.008278651223072121
unmarked3,3,196.5,buzz,0.08797066384917018,sunflower,0.009180920678484455
unmarked3,3,196.5,takeoff,0.07850658483067244,sunflower,0.008193216880855827
unmarked303,3,224.0000000000002,buzz,0.10305544339221424,sunflower,0.010755220091236002
unmarked303,3,224.0000000000002,takeoff,0.0583990548432507,sunflower,0.006094725977441917
unmarked38,3,168.0000000000028,buzz,0.07270750550409409,sunflower,0.007588005041181196
unmarked38,3,168.0000000000028,takeoff,0.0414808319972838,sunflower,0.004329082123303708
unmarked4,4,160.9999999999942,buzz,0.11092521117265015,sunflower,0.01157653609123975
unmarked4,4,160.9999999999942,takeoff,0.20049161089379725,sunflower,0.020923993247038402
unmarked41,4,223.9999999999966,buzz,0.14208865119486638,sunflower,0.014828859745443637
unmarked41,4,223.9999999999966,takeoff,0.09915339877247242,sunflower,0.010347989310311362
unmarked42,4,154.5000000000005,buzz,0.0794562057645832,sunflower,0.00829232258368207
unmarked42,4,154.5000000000005,takeoff,0.10104823863779323,sunflower,0.010545741307860993
unmarked44,4,197.9999999999968,buzz,0.17584551715596897,sunflower,0.018351842239636082
unmarked44,4,197.9999999999968,takeoff,0.08662350181589475,sunflower,0.009040326220884663
unmarked46,4,167.9999999999992,buzz,0.10081596165993002,sunflower,0.010521500084527081
unmarked46,4,167.9999999999992,takeoff,0.1192153274227664,sunflower,0.01244172110153168
unmarked47,4,225.9999999999955,buzz,0.11493056151966415,sunflower,0.011994548212741122
unmarked47,4,225.9999999999955,takeoff,0.0754079720014569,sunflower,0.007869835001560953
unmarked48,4,112.5000000000007,buzz,0.1670538389806565,sunflower,0.01743431250385169
unmarked48,4,112.5000000000007,takeoff,0.061349096345808984,sunflower,0.006402602442710631
unmarked5,5,255.0000000000025,buzz,0.1432651805497604,sunflower,0.014951646390565588
unmarked5,5,255.0000000000025,takeoff,0.0504815664356017,sunflower,0.005268429688851032
unmarked50,5,236.50000000000122,buzz,0.0473849166240669,sunflower,0.004945252676824732
unmarked50,5,236.50000000000122,takeoff,0.08285194552804996,sunflower,0.008646713650533816
unmarked501,5,190.5000000000001,buzz,0.03859782005003309,sunflower,0.00402820109268862
unmarked501,5,190.5000000000001,takeoff,0.05129935770309599,sunflower,0.005353777194825242
unmarked52,5,238.0000000000013,buzz,0.07078627316016381,sunflower,0.007387498633899729
unmarked52,5,238.0000000000013,takeoff,0.08148249899075,sunflower,0.0085037935055417
unmarked56,5,172.0000000000006,buzz,0.06625105537861205,sunflower,0.006914187726715167
unmarked56,5,172.0000000000006,takeoff,0.05319566835738774,sunflower,0.005551682688964375
unmarked57,5,275.5000000000027,buzz,0.04913930749425305,sunflower,0.005128346934767954
unmarked57,5,275.5000000000027,takeoff,0.055124746598419705,sunflower,0.005753007921019809
unmarked59,5,228.50000000000028,buzz,0.10402809150450731,sunflower,0.010856728989501803
unmarked59,5,228.50000000000028,takeoff,0.14673539216355103,sunflower,0.015313809595544833
green3,3,180.999999999999,buzz,0.06999596400030408,borage,0.005643697964144655
green3,3,180.999999999999,takeoff,0.08709444773900847,borage,0.007022329993066598
green4,4,216.4999999999963,buzz,0.09709017573089658,borage,0.007828274600354491
green4,4,216.4999999999963,takeoff,0.10904332784392483,borage,0.008792044172056023
green5,5,266.5000000000042,buzz,0.0985503326319257,borage,0.007946005453088144
green5,5,266.5000000000042,takeoff,0.12957230902598854,borage,0.010447273455028305
red31,3,219.0000000000012,buzz,0.12474014599450488,borage,0.010057661438782896
red31,3,219.0000000000012,takeoff,0.07932520815435475,borage,0.006395904709079197
unmarked3,3,196.5,buzz,0.08797066384917018,borage,0.00709297833897764
unmarked3,3,196.5,takeoff,0.07850658483067244,borage,0.006329900006504531
unmarked303,3,224.0000000000002,buzz,0.10305544339221424,borage,0.008309247602678028
unmarked303,3,224.0000000000002,takeoff,0.0583990548432507,borage,0.004708651872062141
unmarked38,3,168.0000000000028,buzz,0.07270750550409409,borage,0.005862326587711678
unmarked38,3,168.0000000000028,takeoff,0.0414808319972838,borage,0.003344554081619335
unmarked4,4,160.9999999999942,buzz,0.11092521117265015,borage,0.008943778365059477
unmarked4,4,160.9999999999942,takeoff,0.20049161089379725,borage,0.016165419140802037
unmarked41,4,223.9999999999966,buzz,0.14208865119486638,borage,0.011456452424500415
unmarked41,4,223.9999999999966,takeoff,0.09915339877247242,borage,0.007994630015921985
unmarked42,4,154.5000000000005,buzz,0.0794562057645832,borage,0.006406466903010136
unmarked42,4,154.5000000000005,takeoff,0.10104823863779323,borage,0.008147408880289718
unmarked44,4,197.9999999999968,buzz,0.17584551715596897,borage,0.014178231578792095
unmarked44,4,197.9999999999968,takeoff,0.08662350181589475,borage,0.0069843581387538595
unmarked46,4,167.9999999999992,buzz,0.10081596165993002,borage,0.008128680641800445
unmarked46,4,167.9999999999992,takeoff,0.1192153274227664,borage,0.009612201364464133
unmarked47,4,225.9999999999955,buzz,0.11493056151966415,borage,0.009266725379533493
unmarked47,4,225.9999999999955,takeoff,0.0754079720014569,borage,0.006080062245632485
unmarked48,4,112.5000000000007,buzz,0.1670538389806565,borage,0.013469368190337151
unmarked48,4,112.5000000000007,takeoff,0.061349096345808984,borage,0.004946510489482684
unmarked5,5,255.0000000000025,buzz,0.1432651805497604,borage,0.011551314698630147
unmarked5,5,255.0000000000025,takeoff,0.0504815664356017,borage,0.004070273447740512
unmarked50,5,236.50000000000122,buzz,0.0473849166240669,borage,0.0038205939628354686
unmarked50,5,236.50000000000122,takeoff,0.08285194552804996,borage,0.006680261683374317
unmarked501,5,190.5000000000001,buzz,0.03859782005003309,borage,0.0031120999838768868
unmarked501,5,190.5000000000001,takeoff,0.05129935770309599,borage,0.004136211062535456
unmarked52,5,238.0000000000013,buzz,0.07078627316016381,borage,0.005707419726681219
unmarked52,5,238.0000000000013,takeoff,0.08148249899075,borage,0.006569844707982261
unmarked56,5,172.0000000000006,buzz,0.06625105537861205,borage,0.005341750080920141
unmarked56,5,172.0000000000006,takeoff,0.05319566835738774,borage,0.004289108515008082
unmarked57,5,275.5000000000027,buzz,0.04913930749425305,borage,0.003962048578452171
unmarked57,5,275.5000000000027,takeoff,0.055124746598419705,borage,0.004444647982134223
unmarked59,5,228.50000000000028,buzz,0.10402809150450731,borage,0.00838767115537249
unmarked59,5,228.50000000000028,takeoff,0.14673539216355103,borage,0.011831114062773717
green3,3,180.999999999999,buzz,0.06999596400030408,raspberry,0.008366418129914547
green3,3,180.999999999999,takeoff,0.08709444773900847,raspberry,0.010410151170649924
green4,4,216.4999999999963,buzz,0.09709017573089658,raspberry,0.011604912055615573
green4,4,216.4999999999963,takeoff,0.10904332784392483,raspberry,0.013033638268281656
green5,5,266.5000000000042,buzz,0.0985503326319257,raspberry,0.011779440449413203
green5,5,266.5000000000042,takeoff,0.12957230902598854,raspberry,0.015487408893535797
red31,3,219.0000000000012,buzz,0.12474014599450488,raspberry,0.01490983421518531
red31,3,219.0000000000012,takeoff,0.07932520815435475,raspberry,0.009481516100827694
unmarked3,3,196.5,buzz,0.08797066384917018,raspberry,0.010514882785600584
unmarked3,3,196.5,takeoff,0.07850658483067244,raspberry,0.009383668387539585
unmarked303,3,224.0000000000002,buzz,0.10305544339221424,raspberry,0.01231792350169301
unmarked303,3,224.0000000000002,takeoff,0.0583990548432507,raspberry,0.006980272622694703
unmarked38,3,168.0000000000028,buzz,0.07270750550409409,raspberry,0.008690520959575211
unmarked38,3,168.0000000000028,takeoff,0.0414808319972838,raspberry,0.004958085652831454
unmarked4,4,160.9999999999942,buzz,0.11092521117265015,raspberry,0.013258574420311265
unmarked4,4,160.9999999999942,takeoff,0.20049161089379725,raspberry,0.0239641909677871
unmarked41,4,223.9999999999966,buzz,0.14208865119486638,raspberry,0.016983451608819474
unmarked41,4,223.9999999999966,takeoff,0.09915339877247242,raspberry,0.011851523226811423
unmarked42,4,154.5000000000005,buzz,0.0794562057645832,raspberry,0.009497173871912698
unmarked42,4,154.5000000000005,takeoff,0.10104823863779323,raspberry,0.012078008036741836
unmarked44,4,197.9999999999968,buzz,0.17584551715596897,raspberry,0.021018313610074817
unmarked44,4,197.9999999999968,takeoff,0.08662350181589475,raspberry,0.0103538603463771
unmarked46,4,167.9999999999992,buzz,0.10081596165993002,raspberry,0.012050244631429665
unmarked46,4,167.9999999999992,takeoff,0.1192153274227664,raspberry,0.014249468393766227
unmarked47,4,225.9999999999955,buzz,0.11493056151966415,raspberry,0.013737322534413557
unmarked47,4,225.9999999999955,takeoff,0.0754079720014569,raspberry,0.00901330002527484
unmarked48,4,112.5000000000007,buzz,0.1670538389806565,raspberry,0.019967469368855587
unmarked48,4,112.5000000000007,takeoff,0.061349096345808984,raspberry,0.007332882677624396
unmarked5,5,255.0000000000025,buzz,0.1432651805497604,raspberry,0.017124078810198104
unmarked5,5,255.0000000000025,takeoff,0.0504815664356017,raspberry,0.006033917793481192
unmarked50,5,236.50000000000122,buzz,0.0473849166240669,raspberry,0.005663784065126388
unmarked50,5,236.50000000000122,takeoff,0.08285194552804996,raspberry,0.009903056969992703
