BeeID,bout_index,event_type,dt,Temperature,q10,metabolic_rate_uL_h,metabolic_rate_mL_h,weight_g,mass_specific_mL_g_h,ColonyID,ITS_mm
green3,0,buzz,2,23.5,0.9877774918486618,6068.014132176029,6.068014132176029,0.1809999999999991,33.52493996,3,4.7
green3,1,buzz,1,23.5,0.9877774918486618,6116.896672026141,6.116896672,0.1809999999999991,33.79500923771364,3,4.7
green3,2,buzz,2,23.5,0.9877774918486618,6166.889868888088,6.166889868888088,0.1809999999999991,34.071214745238215,3,4.7
green3,3,buzz,1,23.5,0.9877774918486618,6216.883065750031,6.216883065750031,0.1809999999999991,34.34742025276277,3,4.7
green3,4,buzz,2,23.5,0.9877774918486618,6634.283854259557,6.634283854259557,0.1809999999999991,36.65350195723529,3,4.7
green3,5,buzz,3,23.5,0.9877774918486618,8442.885871617611,8.442885872,0.1809999999999991,46.645778296230105,3,4.7
green3,19,flight,2,23.5,0.9877774918486618,12281.675462858648,12.281675462858647,0.1809999999999991,67.85456056828014,3,4.7
green3,20,flight,1,23.5,0.9877774918486618,11158.944056519154,11.158944056519154,0.1809999999999991,61.65162462165307,3,4.7
green3,21,flight,1,23.5,0.9877774918486618,11215.830557385712,11.215830557385711,0.1809999999999991,61.96591468168931,3,4.7
green4,22,buzz,2,23.5,0.9877774918486618,10670.365207280003,10.670365207280003,0.2164999999999963,49.28575153478145,4,4.072
green4,23,buzz,1,23.5,0.9877774918486618,10390.990518816465,10.390990518816462,0.2164999999999963,47.99533726936091,4,4.072
green4,24,buzz,2,23.5,0.9877774918486618,10227.621406773114,10.227621406773114,0.2164999999999963,47.24074552782118,4,4.072
green4,25,buzz,1,23.5,0.9877774918486618,10238.358745665008,10.238358745665009,0.2164999999999963,47.29034063,4,4.072
green4,26,buzz,1,23.5,0.9877774918486618,10536.630012658614,10.536630012658614,0.2164999999999963,48.66803700997132,4,4.072
green4,27,buzz,1,23.5,0.9877774918486618,12435.324844382205,12.435324844382205,0.2164999999999963,57.43799004333678,4,4.072
green4,28,buzz,2,23.5,0.9877774918486618,11323.59510619142,11.32359510619142,0.2164999999999963,52.30297970527303,4,4.072
green4,29,buzz,1,23.5,0.9877774918486618,12142.565375793114,12.142565375793112,0.2164999999999963,56.08575231313311,4,4.072
green4,30,buzz,2,23.5,0.9877774918486618,12045.14048666108,12.04514048666108,0.2164999999999963,55.63575282522533,4,4.072
green4,31,buzz,1,23.5,0.9877774918486618,11528.351897587729,11.528351897587727,0.2164999999999963,53.24873855698809,4,4.072
green4,32,buzz,1,23.5,0.9877774918486618,11790.57481768281,11.79057481768281,0.2164999999999963,54.459929873824514,4,4.072
green4,36,buzz,1,23.5,0.9877774918486618,12038.60693,12.038606931218998,0.2164999999999963,55.60557474,4,4.072
green4,37,buzz,1,23.5,0.9877774918486618,13961.801410517412,13.961801410517412,0.2164999999999963,64.48869011786442,4,4.072
green4,38,buzz,2,23.5,0.9877774918486618,14064.40383415071,14.06440383415071,0.2164999999999963,64.96260431478497,4,4.072
green4,39,buzz,1,23.5,0.9877774918486618,14167.006257784016,14.167006257784015,0.2164999999999963,65.43651851170557,4,4.072
green4,40,buzz,1,23.5,0.9877774918486618,14167.006257784016,14.167006257784015,0.2164999999999963,65.43651851170557,4,4.072
green4,41,buzz,1,23.5,0.9877774918486618,14500.377605283971,14.500377605283973,0.2164999999999963,66.97633997821809,4,4.072
green4,42,buzz,2,23.5,0.9877774918486618,15516.775752403451,15.51677575240345,0.2164999999999963,71.67101964158758,4,4.072
green4,43,buzz,1,23.5,0.9877774918486618,15627.157516451556,15.627157516451556,0.2164999999999963,72.18086612679824,4,4.072
green4,44,buzz,1,23.5,0.9877774918486618,15627.157516451556,15.627157516451556,0.2164999999999963,72.18086612679824,4,4.072
green4,45,buzz,1,23.5,0.9877774918486618,16481.323878531806,16.481323878531807,0.2164999999999963,76.12620729114127,4,4.072
green4,46,buzz,1,23.5,0.9877774918486618,16678.37956149067,16.67837956149067,0.2164999999999963,77.03639520319145,4,4.072
green4,47,buzz,1,23.5,0.9877774918486618,15931.581846997387,15.931581846997387,0.2164999999999963,73.58698312700996,4,4.072
green4,101,flight,2,23.5,0.9877774918486618,14684.76800524235,14.684768005242349,0.2164999999999963,67.82802773784108,4,4.072
green4,106,flight,1,23.5,0.9877774918486618,14785.565166731543,14.785565166731542,0.2164999999999963,68.29360354148633,4,4.072
green4,107,flight,1,23.5,0.9877774918486618,15163.37109203582,15.16337109203582,0.2164999999999963,70.03866555212967,4,4.072
green4,108,flight,1,23.5,0.9877774918486618,14129.098123423848,14.129098123423848,0.2164999999999963,65.26142320288261,4,4.072
green5,109,buzz,1,24,0.954130164,11833.591729328376,11.833591729328376,0.2665000000000042,44.403721310799966,5,5
green5,111,buzz,2,24,0.954130164,12156.653142387277,12.156653142387276,0.2665000000000042,45.61595925848813,5,5
green5,112,buzz,2,24,0.954130164,10505.377278160062,10.50537727816006,0.2665000000000042,39.41980216945552,5,5
green5,121,flight,1,24,0.954130164,15457.263597609492,15.457263597609492,0.2665000000000042,58.00098910922795,5,5
green5,122,flight,3,24,0.954130164,15458.453207098306,15.458453207098303,0.2665000000000042,58.00545293470192,5,5
green5,123,flight,2,24,0.954130164,15505.56071239472,15.50556071239472,0.2665000000000042,58.182216556827306,5,5
green5,125,flight,1,24,0.954130164,15893.756393595682,15.893756393595682,0.2665000000000042,59.638860763960345,5,5
green5,126,flight,1,24,0.954130164,15813.594575366362,15.813594575366364,0.2665000000000042,59.33806594884096,5,5
green5,127,flight,1,24,0.954130164,15651.144755249665,15.651144755249664,0.2665000000000042,58.72849814352502,5,5
green5,128,flight,1,24,0.954130164,15561.687037655887,15.561687037655888,0.2665000000000042,58.39282190489923,5,5
green5,129,flight,2,24,0.954130164,15870.816623708177,15.870816623708174,0.2665000000000042,59.552782828172326,5,5
green5,130,flight,1,24,0.954130164,15950.24624244944,15.950246242449438,0.2665000000000042,59.85083017804573,5,5
green5,131,flight,2,24,0.954130164,16052.934501379088,16.052934501379088,0.2665000000000042,60.23615197515511,5,5
green5,132,flight,1,24,0.954130164,16220.740999064034,16.220740999064034,0.2665000000000042,60.86581988391662,5,5
green5,133,flight,2,24,0.954130164,16381.752181719048,16.381752181719047,0.2665000000000042,61.46998942483599,5,5
green5,140,flight,3,24,0.954130164,16734.18057627801,16.73418057627801,0.2665000000000042,62.79242242505722,5,5
green5,141,flight,2,24,0.954130164,17658.264418371877,17.65826441837188,0.2665000000000042,66.25990400889907,5,5
green5,142,flight,1,24,0.954130164,16393.05919664375,16.39305919664375,0.2665000000000042,61.51241724819322,5,5
green5,143,flight,2,24,0.954130164,16256.01767197556,16.25601767197556,0.2665000000000042,60.99819013874411,5,5
green5,146,flight,1,24,0.954130164,7012.585352772308,7.012585352772309,0.2665000000000042,26.31364109858236,5,5
red31,147,buzz,1,23.5,0.9877774918486618,10455.573386788512,10.455573386788512,0.2190000000000012,47.74234423191075,3,4.882
red31,148,buzz,2,23.5,0.9877774918486618,10436.31291103045,10.43631291103045,0.2190000000000012,47.654396854020064,3,4.882
red31,149,buzz,2,23.5,0.9877774918486618,10421.515213980563,10.421515213980562,0.2190000000000012,47.58682746,3,4.882
red31,150,buzz,2,23.5,0.9877774918486618,11233.515132933278,11.23351513293328,0.2190000000000012,51.29458964809689,3,4.882
red31,151,buzz,1,23.5,0.9877774918486618,13592.397125447813,13.592397125447812,0.2190000000000012,62.06574029884812,3,4.882
red31,152,buzz,2,23.5,0.9877774918486618,15315.28455,15.31528455,0.2190000000000012,69.93280617988637,3,4.882
red31,153,buzz,1,23.5,0.9877774918486618,16201.71686480218,16.20171686480218,0.2190000000000012,73.98044230503238,3,4.882
