BeeID,bout_index,event_type,dt,Temperature,q10,metabolic_rate_uL_h,metabolic_rate_mL_h,weight_g,mass_specific_mL_g_h
green3,0,buzz,2,23.5,0.9877774918486618,6068.014132176029,6.068014132176029,0.18099999999999916,33.52493996
green3,1,buzz,1,23.5,0.9877774918486618,6116.896672026141,6.116896672,0.18099999999999916,33.795009237713636
green3,2,buzz,2,23.5,0.9877774918486618,6166.889868888088,6.166889868888088,0.18099999999999916,34.071214745238215
green3,3,buzz,1,23.5,0.9877774918486618,6216.883065750031,6.216883065750031,0.18099999999999916,34.34742025276277
green3,4,buzz,2,23.5,0.9877774918486618,6634.283854259557,6.634283854259557,0.18099999999999916,36.65350195723529
green3,5,buzz,3,23.5,0.9877774918486618,8442.885871617611,8.442885872,0.18099999999999916,46.645778296230105
green3,19,flight,2,23.5,0.9877774918486618,12281.675462858648,12.281675462858647,0.18099999999999916,67.85456056828014
green3,20,flight,1,23.5,0.9877774918486618,11158.944056519154,11.158944056519154,0.18099999999999916,61.65162462165307
green3,21,flight,1,23.5,0.9877774918486618,11215.830557385712,11.215830557385713,0.18099999999999916,61.96591468168931
green4,22,buzz,2,23.5,0.9877774918486618,10670.365207280003,10.670365207280003,0.21649999999999636,49.28575153478145
green4,23,buzz,1,23.5,0.9877774918486618,10390.990518816463,10.390990518816462,0.21649999999999636,47.99533726936091
green4,24,buzz,2,23.5,0.9877774918486618,10227.621406773114,10.227621406773114,0.21649999999999636,47.24074552782118
green4,25,buzz,1,23.5,0.9877774918486618,10238.358745665008,10.238358745665007,0.21649999999999636,47.29034063
green4,26,buzz,1,23.5,0.9877774918486618,10536.630012658614,10.536630012658614,0.21649999999999636,48.66803700997132
green4,27,buzz,1,23.5,0.9877774918486618,12435.324844382205,12.435324844382205,0.21649999999999636,57.43799004333678
green4,28,buzz,2,23.5,0.9877774918486618,11323.59510619142,11.323595106191421,0.21649999999999636,52.30297970527303
green4,29,buzz,1,23.5,0.9877774918486618,12142.565375793114,12.142565375793113,0.21649999999999636,56.085752313133106
green4,30,buzz,2,23.5,0.9877774918486618,12045.140486661081,12.045140486661081,0.21649999999999636,55.63575282522533
green4,31,buzz,1,23.5,0.9877774918486618,11528.351897587727,11.528351897587727,0.21649999999999636,53.24873855698809
green4,32,buzz,1,23.5,0.9877774918486618,11790.57481768281,11.79057481768281,0.21649999999999636,54.459929873824514
green4,36,buzz,1,23.5,0.9877774918486618,12038.60693,12.038606931218998,0.21649999999999636,55.60557474
green4,37,buzz,1,23.5,0.9877774918486618,13961.801410517412,13.961801410517412,0.21649999999999636,64.48869011786442
green4,38,buzz,2,23.5,0.9877774918486618,14064.40383415071,14.06440383415071,0.21649999999999636,64.96260431478497
green4,39,buzz,1,23.5,0.9877774918486618,14167.006257784016,14.167006257784017,0.21649999999999636,65.43651851170557
green4,40,buzz,1,23.5,0.9877774918486618,14167.006257784016,14.167006257784017,0.21649999999999636,65.43651851170557
green4,41,buzz,1,23.5,0.9877774918486618,14500.377605283973,14.500377605283973,0.21649999999999636,66.97633997821809
green4,42,buzz,2,23.5,0.9877774918486618,15516.775752403451,15.51677575240345,0.21649999999999636,71.67101964158758
green4,43,buzz,1,23.5,0.9877774918486618,15627.157516451556,15.627157516451556,0.21649999999999636,72.18086612679824
green4,44,buzz,1,23.5,0.9877774918486618,15627.157516451556,15.627157516451556,0.21649999999999636,72.18086612679824
green4,45,buzz,1,23.5,0.9877774918486618,16481.323878531806,16.481323878531807,0.21649999999999636,76.12620729114127
green4,46,buzz,1,23.5,0.9877774918486618,16678.37956149067,16.67837956149067,0.21649999999999636,77.03639520319145
green4,47,buzz,1,23.5,0.9877774918486618,15931.581846997387,15.931581846997387,0.21649999999999636,73.58698312700996
green4,101,flight,2,23.5,0.9877774918486618,14684.76800524235,14.684768005242349,0.21649999999999636,67.82802773784108
green4,106,flight,1,23.5,0.9877774918486618,14785.565166731543,14.785565166731542,0.21649999999999636,68.29360354148633
green4,107,flight,1,23.5,0.9877774918486618,15163.371092035819,15.163371092035819,0.21649999999999636,70.03866555212967
green4,108,flight,1,23.5,0.9877774918486618,14129.098123423848,14.129098123423848,0.21649999999999636,65.26142320288261
green5,109,buzz,1,24,0.9541301642708879,11833.591729328376,11.833591729328376,0.2665000000000042,44.403721310799966
green5,111,buzz,2,24,0.9541301642708879,12156.653142387277,12.156653142387277,0.2665000000000042,45.61595925848813
green5,112,buzz,2,24,0.9541301642708879,10505.377278160062,10.505377278160061,0.2665000000000042,39.41980216945552
green5,121,flight,1,24,0.9541301642708879,15457.263597609492,15.457263597609492,0.2665000000000042,58.00098910922795
green5,122,flight,3,24,0.9541301642708879,15458.453207098306,15.458453207098305,0.2665000000000042,58.00545293470192
green5,123,flight,2,24,0.9541301642708879,15505.56071239472,15.50556071239472,0.2665000000000042,58.182216556827306
green5,125,flight,1,24,0.9541301642708879,15893.756393595682,15.893756393595682,0.2665000000000042,59.638860763960345
green5,126,flight,1,24,0.9541301642708879,15813.594575366362,15.813594575366363,0.2665000000000042,59.338065948840956
green5,127,flight,1,24,0.9541301642708879,15651.144755249665,15.651144755249664,0.2665000000000042,58.72849814352502
green5,128,flight,1,24,0.9541301642708879,15561.687037655889,15.561687037655888,0.2665000000000042,58.39282190489923
green5,129,flight,2,24,0.9541301642708879,15870.816623708175,15.870816623708174,0.2665000000000042,59.552782828172326
green5,130,flight,1,24,0.9541301642708879,15950.246242449439,15.950246242449438,0.2665000000000042,59.85083017804573
