BeeID,bout_index,event_type,dt_sec,Temperature,q10,H2O_ppm_mean,P_H2O,STPD_factor,CO2_rate_mL_h_STPD,weight_g
green3,0,buzz,2,23.5,0.9877774918486618,-503.6677666666667,-0.3827875026666667,0.9212458346551998,5.590132743896054,0.180999999999999
green3,1,buzz,1,23.5,0.9877774918486618,-505.0115,-0.38380874000000004,0.9212470719407551,5.635173148468231,0.180999999999999
green3,2,buzz,2,23.5,0.9877774918486618,-500.73026666666664,-0.38055500266666664,0.9212431298578796,5.6812049243033105,0.180999999999999
green3,3,buzz,1,23.5,0.9877774918486618,-497.33445,-0.37797418200000005,0.9212400030507922,5.727241374457978,0.180999999999999
green3,4,buzz,2,23.5,0.9877774918486618,-494.93890000000005,-0.37615356400000005,0.9212377972713129,6.111753044370711,0.180999999999999
green3,5,buzz,3,23.5,0.9877774918486618,-434.72499999999997,-0.330391,0.9211823533920444,7.777437476637152,0.180999999999999
green3,19,flight,2,23.5,0.9877774918486618,91.21188333333333,0.06932103133333334,0.9206980801418085,11.307715019578714,0.180999999999999
green3,20,flight,1,23.5,0.9877774918486618,136.17265,0.103491214,0.9206566810741699,10.273556399367259,0.180999999999999
green3,21,flight,1,23.5,0.9877774918486618,191.45430000000002,0.14550526800000002,0.9206057787222484,10.325358424298864,0.180999999999999
green4,22,buzz,2,23.5,0.9877774918486618,-467.37323333333336,-0.35520365733333337,0.9212124152997977,9.829672904729339,0.21649999999999636
green4,23,buzz,1,23.5,0.9877774918486618,-392.67435000000006,-0.29843250600000004,0.9211436339076436,9.571594766402468,0.21649999999999636
green4,24,buzz,2,23.5,0.9877774918486618,-398.1322,-0.302580472,0.9211486593980447,9.421159747679798,0.21649999999999636
green4,25,buzz,1,23.5,0.9877774918486618,-398.85775,-0.30313189,0.921149327471473,9.431057272980995,0.21649999999999636
green4,26,buzz,1,23.5,0.9877774918486618,-112.78655,-0.08571777800000001,0.9208859182407971,9.70303420437067,0.21649999999999636
green4,27,buzz,1,23.5,0.9877774918486618,252.39615,0.191821074,0.9205496645596746,11.447334114186626,0.21649999999999636
green4,28,buzz,2,23.5,0.9877774918486618,201.01406666666668,0.15277069066666668,0.9205969762605426,10.4244674151585,0.21649999999999636
green4,29,buzz,1,23.5,0.9877774918486618,282.23875000000004,0.21450145,0.9205221860287798,11.177500823722449,0.21649999999999636
green4,30,buzz,2,23.5,0.9877774918486618,271.35693333333336,0.20623126933333336,0.9205322058104163,11.087939741482476,0.21649999999999636
green4,31,buzz,1,23.5,0.9877774918486618,263.2199,0.20004712400000002,0.9205396982447833,10.612305577065081,0.21649999999999636
green4,32,buzz,1,23.5,0.9877774918486618,335.38534999999996,0.254892866,0.9204732495926091,10.85290871699728,0.21649999999999636
green4,36,buzz,1,23.5,0.9877774918486618,359.15585,0.27295844599999997,0.9204513621424996,11.080952148138664,0.21649999999999636
green4,37,buzz,1,23.5,0.9877774918486618,436.94675,0.33207953,0.9203797336768498,12.850159063861081,0.21649999999999636
green4,38,buzz,2,23.5,0.9877774918486618,438.3567,0.333151092,0.9203784354201753,12.944573995993144,0.21649999999999636
green4,39,buzz,1,23.5,0.9877774918486618,444.7146,0.337983096,0.9203725811798752,13.03892411706812,0.21649999999999636
green4,40,buzz,1,23.5,0.9877774918486618,444.7146,0.337983096,0.9203725811798752,13.03892411706812,0.21649999999999636
green4,41,buzz,1,23.5,0.9877774918486618,467.32635,0.355168026,0.9203517606859851,13.345448059634732,0.21649999999999636
green4,42,buzz,2,23.5,0.9877774918486618,591.1111666666667,0.44924448666666666,0.9202377818467048,14.279123299804485,0.21649999999999636
green4,43,buzz,1,23.5,0.9877774918486618,601.47955,0.457124458,0.9202282348252739,14.380551576700727,0.21649999999999636
green4,44,buzz,1,23.5,0.9877774918486618,601.47955,0.457124458,0.9202282348252739,14.380551576700727,0.21649999999999636
green4,45,buzz,1,23.5,0.9877774918486618,744.9411,0.566155236,0.9200961380028148,15.164402449810687,0.21649999999999636
green4,46,buzz,1,23.5,0.9877774918486618,798.8033999999999,0.6070905839999999,0.9200465425629192,15.344885451101545,0.21649999999999636
green4,47,buzz,1,23.5,0.9877774918486618,787.73145,0.598675902,0.9200567374159194,14.657959216023103,0.21649999999999636
green4,101,flight,2,23.5,0.9877774918486618,549.7538,0.417812888,0.9202758629682454,13.514037548512881,0.21649999999999636
green4,106,flight,1,23.5,0.9877774918486618,527.2597,0.400717372,0.9202965751321254,13.60710498433589,0.21649999999999636
green4,107,flight,1,23.5,0.9877774918486618,609.62675,0.46331633,0.9202207330296224,13.953648461513387,0.21649999999999636
green4,108,flight,1,23.5,0.9877774918486618,481.23095000000006,0.36573552200000004,0.9203389575796644,13.003559438452697,0.21649999999999636
green5,109,buzz,1,24.0,0.9541301642708879,-417.14564999999993,-0.31703069399999995,0.9196161646787734,10.882362240499415,0.2665000000000042
green5,111,buzz,2,24.0,0.9541301642708879,-260.73743333333334,-0.19816044933333332,0.919472389129783,11.177706908652913,0.2665000000000042
green5,112,buzz,2,24.0,0.9541301642708879,-328.1806,-0.249417256,0.9195343850946996,9.660055635660742,0.2665000000000042
green5,121,flight,1,24.0,0.9541301642708879,-86.60987,-0.06582350120000001,0.9193123253777234,14.210052941894817,0.2665000000000042
green5,122,flight,3,24.0,0.9541301642708879,-80.666915,-0.061306855400000006,0.9193068624190889,14.211062115669845,0.2665000000000042
green5,123,flight,2,24.0,0.9541301642708879,-83.90883666666669,-0.06377071586666669,0.9193098424995305,14.254414576378498,0.2665000000000042
