BeeID,bout_index,event_type,dt,Temperature,q10,metabolic_rate_uL_h,metabolic_rate_mL_h
green3,0,buzz,2,23.5,0.9877774918486618,6068.014132176029,6.068014132176029
green3,1,buzz,1,23.5,0.9877774918486618,6116.896672026141,6.11689667202614
green3,2,buzz,2,23.5,0.9877774918486618,6166.889868888088,6.166889868888088
green3,3,buzz,1,23.5,0.9877774918486618,6216.883065750031,6.216883065750031
green3,4,buzz,2,23.5,0.9877774918486618,6634.283854259557,6.634283854259557
green3,5,buzz,3,23.5,0.9877774918486618,8442.885871617611,8.44288587161761
green3,19,flight,2,23.5,0.9877774918486618,12281.675462858648,12.281675462858647
green3,20,flight,1,23.5,0.9877774918486618,11158.944056519154,11.158944056519154
green3,21,flight,1,23.5,0.9877774918486618,11215.830557385712,11.215830557385713
green4,22,buzz,2,23.5,0.9877774918486618,10670.365207280003,10.670365207280003
green4,23,buzz,1,23.5,0.9877774918486618,10390.990518816463,10.390990518816462
green4,24,buzz,2,23.5,0.9877774918486618,10227.621406773114,10.227621406773114
green4,25,buzz,1,23.5,0.9877774918486618,10238.358745665008,10.238358745665007
green4,26,buzz,1,23.5,0.9877774918486618,10536.630012658614,10.536630012658614
green4,27,buzz,1,23.5,0.9877774918486618,12435.324844382205,12.435324844382205
green4,28,buzz,2,23.5,0.9877774918486618,11323.59510619142,11.323595106191421
green4,29,buzz,1,23.5,0.9877774918486618,12142.565375793114,12.142565375793113
green4,30,buzz,2,23.5,0.9877774918486618,12045.140486661081,12.045140486661081
green4,31,buzz,1,23.5,0.9877774918486618,11528.351897587727,11.528351897587727
green4,32,buzz,1,23.5,0.9877774918486618,11790.57481768281,11.79057481768281
green4,36,buzz,1,23.5,0.9877774918486618,12038.606931219,12.038606931218998
green4,37,buzz,1,23.5,0.9877774918486618,13961.801410517412,13.961801410517412
green4,38,buzz,2,23.5,0.9877774918486618,14064.40383415071,14.06440383415071
green4,39,buzz,1,23.5,0.9877774918486618,14167.006257784016,14.167006257784017
green4,40,buzz,1,23.5,0.9877774918486618,14167.006257784016,14.167006257784017
green4,41,buzz,1,23.5,0.9877774918486618,14500.377605283973,14.500377605283973
green4,42,buzz,2,23.5,0.9877774918486618,15516.775752403451,15.51677575240345
green4,43,buzz,1,23.5,0.9877774918486618,15627.157516451556,15.627157516451556
green4,44,buzz,1,23.5,0.9877774918486618,15627.157516451556,15.627157516451556
green4,45,buzz,1,23.5,0.9877774918486618,16481.323878531806,16.481323878531807
green4,46,buzz,1,23.5,0.9877774918486618,16678.37956149067,16.67837956149067
green4,47,buzz,1,23.5,0.9877774918486618,15931.581846997387,15.931581846997387
green4,101,flight,2,23.5,0.9877774918486618,14684.76800524235,14.684768005242349
green4,106,flight,1,23.5,0.9877774918486618,14785.565166731543,14.785565166731542
green4,107,flight,1,23.5,0.9877774918486618,15163.371092035819,15.163371092035819
green4,108,flight,1,23.5,0.9877774918486618,14129.098123423848,14.129098123423848
green5,109,buzz,1,24.0,0.9541301642708879,11833.591729328376,11.833591729328376
green5,111,buzz,2,24.0,0.9541301642708879,12156.653142387277,12.156653142387277
green5,112,buzz,2,24.0,0.9541301642708879,10505.377278160062,10.505377278160061
green5,121,flight,1,24.0,0.9541301642708879,15457.263597609492,15.457263597609492
green5,122,flight,3,24.0,0.9541301642708879,15458.453207098306,15.458453207098305
green5,123,flight,2,24.0,0.9541301642708879,15505.56071239472,15.50556071239472
green5,125,flight,1,24.0,0.9541301642708879,15893.756393595682,15.893756393595682
green5,126,flight,1,24.0,0.9541301642708879,15813.594575366362,15.813594575366363
green5,127,flight,1,24.0,0.9541301642708879,15651.144755249665,15.651144755249664
green5,128,flight,1,24.0,0.9541301642708879,15561.687037655889,15.561687037655888
green5,129,flight,2,24.0,0.9541301642708879,15870.816623708175,15.870816623708174
green5,130,flight,1,24.0,0.9541301642708879,15950.246242449439,15.950246242449438
green5,131,flight,2,24.0,0.9541301642708879,16052.934501379088,16.052934501379088
green5,132,flight,1,24.0,0.9541301642708879,16220.740999064034,16.220740999064034
green5,133,flight,2,24.0,0.9541301642708879,16381.752181719048,16.381752181719047
green5,140,flight,3,24.0,0.9541301642708879,16734.18057627801,16.73418057627801
green5,141,flight,2,24.0,0.9541301642708879,17658.264418371877,17.65826441837188
green5,142,flight,1,24.0,0.9541301642708879,16393.05919664375,16.39305919664375
green5,143,flight,2,24.0,0.9541301642708879,16256.01767197556,16.25601767197556
green5,146,flight,1,24.0,0.9541301642708879,7012.585352772308,7.012585352772309
red31,147,buzz,1,23.5,0.9877774918486618,10455.573386788512,10.455573386788512
red31,148,buzz,2,23.5,0.9877774918486618,10436.31291103045,10.43631291103045
red31,149,buzz,2,23.5,0.9877774918486618,10421.515213980563,10.421515213980562
red31,150,buzz,2,23.5,0.9877774918486618,11233.515132933278,11.23351513293328
red31,151,buzz,1,23.5,0.9877774918486618,13592.397125447813,13.592397125447812
red31,152,buzz,2,23.5,0.9877774918486618,15315.2845533952,15.3152845533952
red31,153,buzz,1,23.5,0.9877774918486618,16201.71686480218,16.20171686480218
red31,154,buzz,2,23.5,0.9877774918486618,13099.082278246246,13.099082278246245
red31,155,buzz,1,23.5,0.9877774918486618,12950.91506180245,12.950915061802451
red31,156,buzz,1,23.5,0.9877774918486618,13241.329941736887,13.241329941736888
red31,157,buzz,2,23.5,0.9877774918486618,14275.623061009695,14.275623061009695
red31,158,flight,1,23.5,0.9877774918486618,13865.382869094075,13.865382869094075
red31,159,buzz,2,23.5,0.9877774918486618,13997.93036005927,13.99793036005927
red31,160,flight,1,23.5,0.9877774918486618,12001.200192713688,12.001200192713688
unmarked3,161,buzz,1,22.0,1.0960077501510197,12391.291769192205,12.391291769192204
unmarked3,162,buzz,1,22.0,1.0960077501510197,12391.291769192205,12.391291769192204
unmarked3,163,buzz,1,22.0,1.0960077501510197,12439.796688182887,12.439796688182888
unmarked3,164,buzz,2,22.0,1.0960077501510197,12431.579918080008,12.431579918080008
unmarked3,165,buzz,1,22.0,1.0960077501510197,12108.541497792743,12.108541497792743
unmarked3,166,buzz,1,22.0,1.0960077501510197,11824.143269140159,11.824143269140158
