BeeID,bout_index,event_type,dt_sec,Temperature,q10,H2O_ppm_mean,P_H2O,STPD_factor,CO2_rate_mL_h_STPD,weight_g,RQ_raw,colony_id,Estimated_O2_mL_h,Oxyjoule_Equivalent_J_per_mL,Power_W,Energy_J,Energy_J_per_kg,Power_W_per_kg
green3,0,buzz,2,23.5,0.9877774918486618,-503.6677666666667,-0.3827875026666667,0.9212458346551998,5.590132743896054,0.180999999999999,0.9619100338483444,3,5.811492288453869,20.93730341479285,0.03379916037113542,0.06759832074227085,373.47138531641554,186.73569265820777
green3,1,buzz,1,23.5,0.9877774918486618,-505.0115,-0.38380874,0.9212470719407552,5.635173148468231,0.180999999999999,0.9619100338483444,3,5.858316214795486,20.93730341479285,0.0340714844691594,0.0340714844691594,188.24024568596457,188.24024568596457
green3,2,buzz,2,23.5,0.9877774918486618,-500.7302666666666,-0.3805550026666666,0.9212431298578796,5.681204924303311,0.180999999999999,0.9619100338483444,3,5.906170768979644,20.93730341479285,0.03434980261380756,0.06869960522761512,379.5558299868259,189.77791499341296
green3,3,buzz,1,23.5,0.9877774918486618,-497.33445,-0.377974182,0.9212400030507922,5.727241374457978,0.180999999999999,0.9619100338483444,3,5.954030182578322,20.93730341479285,0.03462814902041022,0.03462814902041022,191.3157404442564,191.3157404442564
green3,4,buzz,2,23.5,0.9877774918486618,-494.9389000000001,-0.376153564,0.9212377972713128,6.111753044370711,0.180999999999999,0.9619100338483444,3,6.3537678465825165,20.93730341479285,0.03695299034195921,0.07390598068391842,408.32033527026977,204.16016763513488
green3,5,buzz,3,23.5,0.9877774918486618,-434.725,-0.330391,0.9211823533920444,7.777437476637152,0.180999999999999,0.9619100338483444,3,8.085410488465026,20.93730341479285,0.0470240812861502,0.1410722438584506,779.4046622013889,259.80155406712964
green3,19,flight,2,23.5,0.9877774918486618,91.21188333333332,0.0693210313333333,0.9206980801418084,11.307715019578714,0.180999999999999,0.9619100338483444,3,11.75548088872675,20.93730341479285,0.06836890837613074,0.1367378167522615,755.457551117471,377.7287755587355
green3,20,flight,1,23.5,0.9877774918486618,136.17265,0.103491214,0.92065668107417,10.27355639936726,0.180999999999999,0.9619100338483444,3,10.68037138386582,20.93730341479285,0.06211616006851936,0.06211616006851936,343.1832047984514,343.1832047984514
green3,21,flight,1,23.5,0.9877774918486618,191.4543,0.145505268,0.9206057787222484,10.325358424298864,0.180999999999999,0.9619100338483444,3,10.734224678985695,20.93730341479285,0.06242936639624469,0.06242936639624469,344.9136264985913,344.9136264985913
green4,22,buzz,2,23.5,0.9877774918486618,-467.37323333333336,-0.3552036573333333,0.9212124152997976,9.82967290472934,0.2164999999999963,0.8839427755742746,4,11.120259338443327,20.534680493065554,0.06343082569860063,0.12686165139720126,585.9660572619096,292.9830286309548
green4,23,buzz,1,23.5,0.9877774918486618,-392.67435000000006,-0.298432506,0.9211436339076436,9.571594766402468,0.2164999999999963,0.8839427755742746,4,10.828296843292884,20.534680493065554,0.06176544887808048,0.06176544887808048,285.29075694263986,285.29075694263986
green4,24,buzz,2,23.5,0.9877774918486618,-398.1322,-0.302580472,0.9211486593980448,9.421159747679798,0.2164999999999963,0.8839427755742746,4,10.658110465984764,20.534680493065554,0.060794692521887544,0.12158938504377509,561.6137877310723,280.80689386553615
green4,25,buzz,1,23.5,0.9877774918486618,-398.85775,-0.30313189,0.921149327471473,9.431057272980995,0.2164999999999963,0.8839427755742746,4,10.669307486396823,20.534680493065554,0.06085856119873087,0.06085856119873087,281.1018993013021,281.1018993013021
green4,26,buzz,1,23.5,0.9877774918486618,-112.78655,-0.085717778,0.9208859182407972,9.70303420437067,0.2164999999999963,0.8839427755742746,4,10.976993615980245,20.534680493065554,0.06261362685515963,0.06261362685515963,289.20843813007247,289.20843813007247
green4,27,buzz,1,23.5,0.9877774918486618,252.39615,0.191821074,0.9205496645596746,11.447334114186626,0.2164999999999963,0.8839427755742746,4,12.950311298997372,20.534680493065554,0.07386958466962439,0.07386958466962439,341.19900540242793,341.19900540242793
green4,28,buzz,2,23.5,0.9877774918486618,201.01406666666668,0.1527706906666666,0.9205969762605426,10.4244674151585,0.2164999999999963,0.8839427755742746,4,11.793147365660628,20.534680493065554,0.06726903143374409,0.13453806286748818,621.4229231754756,310.7114615877378
green4,29,buzz,1,23.5,0.9877774918486618,282.23875000000004,0.21450145,0.9205221860287798,11.177500823722449,0.2164999999999963,0.8839427755742746,4,12.645050259572196,20.534680493065554,0.07212835191640853,0.07212835191640853,333.1563598910381,333.1563598910381
green4,30,buzz,2,23.5,0.9877774918486618,271.35693333333336,0.2062312693333333,0.9205322058104164,11.087939741482476,0.2164999999999963,0.8839427755742746,4,12.543730259324683,20.534680493065554,0.0715504147406752,0.1431008294813504,660.9738082279576,330.4869041139788
green4,31,buzz,1,23.5,0.9877774918486618,263.2199,0.200047124,0.9205396982447832,10.61230557706508,0.2164999999999963,0.8839427755742746,4,12.00564773004739,20.534680493065554,0.06848115006911691,0.06848115006911691,316.31016198206964,316.31016198206964
green4,32,buzz,1,23.5,0.9877774918486618,335.38535,0.254892866,0.9204732495926092,10.85290871699728,0.2164999999999963,0.8839427755742746,4,12.277840847725045,20.534680493065554,0.07003376082020636,0.07003376082020636,323.4815742272866,323.4815742272866
green4,36,buzz,1,23.5,0.9877774918486618,359.15585,0.2729584459999999,0.9204513621424996,11.080952148138664,0.2164999999999963,0.8839427755742746,4,12.535825230247125,20.534680493065554,0.07150532383889852,0.07150532383889852,330.2786320503452,330.2786320503452
