bee_id,colony_id,body_mass_mg,event_type,mean_energy_J,flower_type,nectar_uL_per_event,nectar_uL_per_s
green3,3,180.999999999999,buzz,0.06999596400030408,sunflower,0.007305019255085535,0.0038410208849083845
green3,3,180.999999999999,takeoff,0.08709444773900847,sunflower,0.009089475755226884,0.006711071041612993
green4,4,216.4999999999963,buzz,0.09709017573089658,sunflower,0.010132664266053349,0.008141957445539276
green4,4,216.4999999999963,takeoff,0.10904332784392483,sunflower,0.011380136282357865,0.00910485657083972
green5,5,266.5000000000042,buzz,0.0985503326319257,sunflower,0.010285051256214916,0.006207310183956669
green5,5,266.5000000000042,takeoff,0.12957230902598854,sunflower,0.013522611280225066,0.008376659047092767
red31,3,219.0000000000012,buzz,0.12474014599450488,sunflower,0.013018310146683318,0.008281617882207397
red31,3,219.0000000000012,takeoff,0.07932520815435475,sunflower,0.008278651223072121,0.008278651223072121
unmarked3,3,196.5,buzz,0.08797066384917018,sunflower,0.009180920678484455,0.007193607393255433
unmarked3,3,196.5,takeoff,0.07850658483067244,sunflower,0.008193216880855827,0.005949415512672376
unmarked303,3,224.0000000000002,buzz,0.10305544339221424,sunflower,0.010755220091236002,0.006552254711728586
unmarked303,3,224.0000000000002,takeoff,0.0583990548432507,sunflower,0.006094725977441917,0.006094725977441917
unmarked38,3,168.0000000000028,buzz,0.07270750550409409,sunflower,0.007588005041181196,0.005056028410027819
unmarked38,3,168.0000000000028,takeoff,0.0414808319972838,sunflower,0.004329082123303708,0.004329082123303708
unmarked4,4,160.9999999999942,buzz,0.11092521117265015,sunflower,0.01157653609123975,0.01157653609123975
unmarked4,4,160.9999999999942,takeoff,0.20049161089379725,sunflower,0.020923993247038402,0.011021125112868504
unmarked41,4,223.9999999999966,buzz,0.14208865119486638,sunflower,0.014828859745443637,0.008914914641117187
unmarked41,4,223.9999999999966,takeoff,0.09915339877247242,sunflower,0.010347989310311362,0.0086577360020193
unmarked42,4,154.5000000000005,buzz,0.0794562057645832,sunflower,0.00829232258368207,0.00829232258368207
unmarked42,4,154.5000000000005,takeoff,0.10104823863779323,sunflower,0.010545741307860993,0.008394652680416163
unmarked44,4,197.9999999999968,buzz,0.17584551715596897,sunflower,0.018351842239636082,0.007239354178239153
unmarked44,4,197.9999999999968,takeoff,0.08662350181589475,sunflower,0.009040326220884663,0.007243246455668015
unmarked46,4,167.9999999999992,buzz,0.10081596165993002,sunflower,0.010521500084527081,0.0071340281126831195
unmarked46,4,167.9999999999992,takeoff,0.1192153274227664,sunflower,0.01244172110153168,0.0080716783255468
unmarked47,4,225.9999999999955,buzz,0.11493056151966415,sunflower,0.011994548212741122,0.007321871345914548
unmarked47,4,225.9999999999955,takeoff,0.0754079720014569,sunflower,0.007869835001560953,0.007869835001560953
unmarked48,4,112.5000000000007,buzz,0.1670538389806565,sunflower,0.01743431250385169,0.004615558901406472
unmarked48,4,112.5000000000007,takeoff,0.061349096345808984,sunflower,0.006402602442710631,0.004628318082797386
unmarked5,5,255.0000000000025,buzz,0.1432651805497604,sunflower,0.014951646390565588,0.006153046035645019
unmarked5,5,255.0000000000025,takeoff,0.0504815664356017,sunflower,0.005268429688851032,0.005268429688851032
unmarked50,5,236.50000000000122,buzz,0.0473849166240669,sunflower,0.004945252676824732,0.004945252676824732
unmarked50,5,236.50000000000122,takeoff,0.08285194552804996,sunflower,0.008646713650533816,0.0059558776376906295
unmarked501,5,190.5000000000001,buzz,0.03859782005003309,sunflower,0.00402820109268862,0.003655717248752449
unmarked501,5,190.5000000000001,takeoff,0.05129935770309599,sunflower,0.005353777194825242,0.0044810109772742725
unmarked52,5,238.0000000000013,buzz,0.07078627316016381,sunflower,0.007387498633899729,0.007387498633899729
unmarked52,5,238.0000000000013,takeoff,0.08148249899075,sunflower,0.0085037935055417,0.0085037935055417
unmarked56,5,172.0000000000006,buzz,0.06625105537861205,sunflower,0.006914187726715167,0.003391727334453977
unmarked56,5,172.0000000000006,takeoff,0.05319566835738774,sunflower,0.005551682688964375,0.0038650017613019697
unmarked57,5,275.5000000000027,buzz,0.04913930749425305,sunflower,0.005128346934767954,0.0034163833335682592
unmarked57,5,275.5000000000027,takeoff,0.055124746598419705,sunflower,0.005753007921019809,0.004294879245461296
unmarked59,5,228.50000000000028,buzz,0.10402809150450731,sunflower,0.010856728989501803,0.0060407071337209945
unmarked59,5,228.50000000000028,takeoff,0.14673539216355103,sunflower,0.015313809595544833,0.007656904797772415
green3,3,180.999999999999,buzz,0.06999596400030408,borage,0.005643697964144655,0.0029674886528606044
green3,3,180.999999999999,takeoff,0.08709444773900847,borage,0.007022329993066598,0.005184826576386336
green4,4,216.4999999999963,buzz,0.09709017573089658,borage,0.007828274600354491,0.006290298088886336
green4,4,216.4999999999963,takeoff,0.10904332784392483,borage,0.008792044172056023,0.0070342128745115185
green5,5,266.5000000000042,buzz,0.0985503326319257,borage,0.007946005453088144,0.004795631965462963
green5,5,266.5000000000042,takeoff,0.12957230902598854,borage,0.010447273455028305,0.006471623408452988
red31,3,219.0000000000012,buzz,0.12474014599450488,borage,0.010057661438782896,0.006398196684984725
red31,3,219.0000000000012,takeoff,0.07932520815435475,borage,0.006395904709079197,0.006395904709079197
unmarked3,3,196.5,buzz,0.08797066384917018,borage,0.00709297833897764,0.0055576235985836915
unmarked3,3,196.5,takeoff,0.07850658483067244,borage,0.006329900006504531,0.004596388187935935
unmarked303,3,224.0000000000002,buzz,0.10305544339221424,borage,0.008309247602678028,0.005062128556525873
unmarked303,3,224.0000000000002,takeoff,0.0583990548432507,borage,0.004708651872062141,0.004708651872062141
unmarked38,3,168.0000000000028,buzz,0.07270750550409409,borage,0.005862326587711678,0.003906176869344532
unmarked38,3,168.0000000000028,takeoff,0.0414808319972838,borage,0.003344554081619335,0.003344554081619335
unmarked4,4,160.9999999999942,buzz,0.11092521117265015,borage,0.008943778365059477,0.008943778365059477
unmarked4,4,160.9999999999942,takeoff,0.20049161089379725,borage,0.016165419140802037,0.008514680001531523
unmarked41,4,223.9999999999966,buzz,0.14208865119486638,borage,0.011456452424500415,0.006887467897578776
unmarked41,4,223.9999999999966,takeoff,0.09915339877247242,borage,0.007994630015921985,0.0066887773108444855
unmarked42,4,154.5000000000005,buzz,0.0794562057645832,borage,0.006406466903010136,0.006406466903010136
unmarked42,4,154.5000000000005,takeoff,0.10104823863779323,borage,0.008147408880289718,0.006485524895664553
unmarked44,4,197.9999999999968,buzz,0.17584551715596897,borage,0.014178231578792095,0.005592966563230779
unmarked44,4,197.9999999999968,takeoff,0.08662350181589475,borage,0.0069843581387538595,0.005595973651567454
unmarked46,4,167.9999999999992,buzz,0.10081596165993002,borage,0.008128680641800445,0.005511593950648529
unmarked46,4,167.9999999999992,takeoff,0.1192153274227664,borage,0.009612201364464133,0.006236001979242642
unmarked47,4,225.9999999999955,buzz,0.11493056151966415,borage,0.009266725379533493,0.0056567175206142795
unmarked47,4,225.9999999999955,takeoff,0.0754079720014569,borage,0.006080062245632485,0.006080062245632485
unmarked48,4,112.5000000000007,buzz,0.1670538389806565,borage,0.013469368190337151,0.0035658797691906206
unmarked48,4,112.5000000000007,takeoff,0.061349096345808984,borage,0.004946510489482684,0.0035757372334252187
unmarked5,5,255.0000000000025,buzz,0.1432651805497604,borage,0.011551314698630147,0.00475370867236017
unmarked5,5,255.0000000000025,takeoff,0.0504815664356017,borage,0.004070273447740512,0.004070273447740512
unmarked50,5,236.50000000000122,buzz,0.0473849166240669,borage,0.0038205939628354686,0.0038205939628354686
unmarked50,5,236.50000000000122,takeoff,0.08285194552804996,borage,0.006680261683374317,0.004601380684264289
unmarked501,5,190.5000000000001,buzz,0.03859782005003309,borage,0.0031120999838768868,0.0028243271200017006
unmarked501,5,190.5000000000001,takeoff,0.05129935770309599,borage,0.004136211062535456,0.0034619309883607615
unmarked52,5,238.0000000000013,buzz,0.07078627316016381,borage,0.005707419726681219,0.005707419726681219
unmarked52,5,238.0000000000013,takeoff,0.08148249899075,borage,0.006569844707982261,0.006569844707982261
unmarked56,5,172.0000000000006,buzz,0.06625105537861205,borage,0.005341750080920141,0.002620374291151345
unmarked56,5,172.0000000000006,takeoff,0.05319566835738774,borage,0.004289108515008082,0.0029860157530029706
unmarked57,5,275.5000000000027,buzz,0.04913930749425305,borage,0.003962048578452171,0.0026394229763287806
unmarked57,5,275.5000000000027,takeoff,0.055124746598419705,borage,0.004444647982134223,0.0033181296869248607
unmarked59,5,228.50000000000028,buzz,0.10402809150450731,borage,0.00838767115537249,0.004666918095916242
unmarked59,5,228.50000000000028,takeoff,0.14673539216355103,borage,0.011831114062773717,0.005915557031386858
green3,3,180.999999999999,buzz,0.06999596400030408,raspberry,0.008366418129914547,0.0043991104809896426
green3,3,180.999999999999,takeoff,0.08709444773900847,raspberry,0.010410151170649924,0.007686170901549255
green4,4,216.4999999999963,buzz,0.09709017573089658,raspberry,0.011604912055615573,0.009324961099579596
green4,4,216.4999999999963,takeoff,0.10904332784392483,raspberry,0.013033638268281656,0.010427766775770543
green5,5,266.5000000000042,buzz,0.0985503326319257,raspberry,0.011779440449413203,0.007109214999659873
green5,5,266.5000000000042,takeoff,0.12957230902598854,raspberry,0.015487408893535797,0.009593764187674141
red31,3,219.0000000000012,buzz,0.12474014599450488,raspberry,0.01490983421518531,0.009484913807241318
red31,3,219.0000000000012,takeoff,0.07932520815435475,raspberry,0.009481516100827694,0.009481516100827694
unmarked3,3,196.5,buzz,0.08797066384917018,raspberry,0.010514882785600584,0.008238818436039136
