laser_key,buzz.number,wav_file,cep.fund.frequency,start_laser,stop_laser,is_floral_buzz
_133455,58,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz58.wav,304.9,441.36,441.7,
_133455,60,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz60.wav,257.79,442.91,443.04,
_133455,61,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz61.wav,303.07,447.87,448.01,
_133455,62,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz62.wav,331.49,449.86,451.01,
_133455,63,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz63.wav,321.83,457.11,458.25,
_133455,64,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz64.wav,349.97,464.42,464.76,
_133455,65,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz65.wav,333.65,465.19,465.56,
_133455,66,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz66.wav,305.14,473.32,473.6,
_133455,67,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz67.wav,300.29,477.8,478.01,
_133455,68,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz68.wav,318.02,478.26,478.62,
_133455,69,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz69.wav,271.0,479.56,480.41,
_133455,70,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz70.wav,346.77,482.05,482.74,
_133455,72,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz72.wav,296.51,484.47,484.57,
_133455,73,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz73.wav,292.08,485.01,485.27,
