laser_key,buzz.number,wav_file,cep.fund.frequency,start_video,stop_video,is_floral_buzz,start_laser,stop_laser
_133455,86,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz86.wav,359.41,718.10605,718.19605,yes,510.65,510.74
_133455,87,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz87.wav,317.98,718.21605,718.49605,yes,510.76,511.04
_133455,89,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz89.wav,336.16,726.77605,727.27605,yes,519.32,519.82
_133455,90,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz90.wav,350.36,727.45605,727.62605,yes,520,520.17
_133455,92,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz92.wav,330.83,730.35605,730.46605,no,522.9,523.01
_133455,98,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz98.wav,262.43,745.24605,745.70605,yes,537.79,538.25
_133455,99,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz99.wav,299.13,746.74605,747.1460500000001,yes,539.29,539.69
_133455,101,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz101.wav,308.43,749.91605,750.04605,~,542.46,542.59
_133455,116,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz116.wav,269.04,801.70605,801.8960500000001,no,594.25,594.44
_133455,118,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz118.wav,313.37,813.33605,813.43605,no,605.88,605.98
_133455,130,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz130.wav,421.48,846.86605,847.03605,no,639.41,639.58
_133455,133,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz133.wav,314.83,848.34605,848.51605,?,640.89,641.06
_145836,105,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz105.wav,294.02,464.31696,464.60696,yes,460.39,460.68
_145836,106,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz106.wav,337.37,464.62696,465.76696,yes,460.7,461.84
_145836,108,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz108.wav,350.84,470.13696,471.22696,yes,466.21,467.3
_145836,111,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz111.wav,317.69,480.32696,481.28696,yes,476.4,477.36
_145836,112,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz112.wav,339.11,484.51696,484.66696,~,480.59,480.74
_145836,114,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz114.wav,298.34,491.08696000000003,491.18696,no,487.16,487.26
_145836,115,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz115.wav,304.69,491.47696,491.91696,yes,487.55,487.99
_145836,117,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz117.wav,328.39,495.32696,495.53696,~,491.4,491.61
_145836,118,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz118.wav,261.29,496.16696,496.32696,no,492.24,492.4
_145836,122,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz122.wav,346.67,501.08696000000003,501.35696,~,497.16,497.43
_145836,125,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz125.wav,337.4,506.67696,507.46696000000003,yes,502.75,503.54
_145836,127,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz127.wav,288.34,510.07696,510.28696,yes,506.15,506.36
_145836,134,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz134.wav,271.68,516.7469600000001,517.06696,yes,512.82,513.14
_145836,136,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz136.wav,361.43,517.41696,517.92696,yes,513.49,514
_145836,137,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz137.wav,339.2,518.04696,518.75696,yes,514.12,514.83
_145836,141,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz141.wav,260.99,522.37696,522.60696,no,518.45,518.68
_145836,151,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz151.wav,326.15,531.56696,531.71696,no,527.64,527.79
_145836,156,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz156.wav,307.67,539.15696,539.27696,no,535.23,535.35
_145836,158,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz158.wav,285.37,540.47696,541.42696,yes,536.55,537.5
_145836,164,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz164.wav,259.85,547.05696,548.47696,no,543.13,544.55
_145836,171,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz171.wav,259.34,558.00696,558.15696,no,554.08,554.23
_145836,172,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz172.wav,284.24,558.90696,559.02696,no,554.98,555.1
_145836,181,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz181.wav,280.09,581.54696,581.62696,no,577.62,577.7
_145836,192,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz192.wav,314.06,626.83696,627.1169600000001,no,622.91,623.19
_145836,205,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz205.wav,361.85,685.26696,685.41696,no,681.34,681.49
_145836,209,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz209.wav,301.31,687.84696,688.19696,yes,683.92,684.27
_145836,218,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz218.wav,399.18,708.60696,708.69696,no,704.68,704.77
_145836,232,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz232.wav,325.01,749.92696,750.03696,no,746,746.11
_153402,15,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz15.wav,310.44,350.57707,351.31707,yes,345.23,345.97
_153402,19,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz19.wav,263.2,354.05706999999995,354.52707,no,348.71,349.18
_153402,22,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz22.wav,424.83,366.93706999999995,367.12706999999995,no,361.59,361.78
_153402,23,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz23.wav,296.06,367.15707,367.35706999999996,no,361.81,362.01
_153402,27,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz27.wav,258.37,375.56707,375.93706999999995,no,370.22,370.59
_153402,28,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz28.wav,278.34,378.36706999999996,378.83707,no,373.02,373.49
_153402,33,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz33.wav,418.07,390.13707,390.26707,no,384.79,384.92
_153402,34,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz34.wav,372.48,396.93706999999995,397.03706999999997,no,391.59,391.69
_153402,38,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz38.wav,268.9,430.42706999999996,433.72706999999997,yes,425.08,428.38
_153402,39,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz39.wav,276.15,433.80706999999995,434.80706999999995,no,428.46,429.46
_153402,40,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz40.wav,303.33,434.85706999999996,436.07707,no,429.51,430.73
_153402,41,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz41.wav,321.43,436.22706999999997,436.32707,no,430.88,430.98
_153402,45,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz45.wav,327.7,440.24706999999995,440.37706999999995,no,434.9,435.03
_153402,47,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz47.wav,260.25,440.77707,442.10706999999996,no,435.43,436.76
_153402,51,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz51.wav,346.29,444.66706999999997,445.84707,no,439.32,440.5
_153402,52,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz52.wav,256.75,445.86706999999996,446.11706999999996,no,440.52,440.77
_153402,54,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz54.wav,256.71,447.15707,447.35706999999996,no,441.81,442.01
_153402,55,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz55.wav,448.74,447.42706999999996,447.57707,no,442.08,442.23
_153402,62,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz62.wav,417.84,451.71707,451.96707,no,446.37,446.62
_153402,63,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz63.wav,403.98,451.99706999999995,452.15707,no,446.65,446.81
